# Time-averaged data for fix 3
# TimeStep v_strain v_stress
200 0.00025 -0.0238768
400 0.00275 0.095918
600 0.00525 0.212228
800 0.00775 0.270174
1000 0.01025 0.326949
1200 0.01275 0.442206
1400 0.01525 0.54949
1600 0.01775 0.596644
1800 0.02025 0.662028
2000 0.02275 0.74295
2200 0.02525 0.795469
2400 0.02775 0.819196
2600 0.03025 0.884598
2800 0.03275 0.954739
3000 0.03525 0.989261
3200 0.03775 1.00271
3400 0.04025 1.06888
3600 0.04275 1.13155
3800 0.04525 1.15385
4000 0.04775 1.14034
4200 0.05025 1.16258
4400 0.05275 1.21632
4600 0.05525 1.23346
4800 0.05775 1.22181
5000 0.06025 1.21692
5200 0.06275 1.25164
5400 0.06525 1.27592
5600 0.06775 1.26131
5800 0.07025 1.22908
6000 0.07275 1.17926
6200 0.07525 1.17363
6400 0.07775 1.13799
6600 0.08025 1.02885
6800 0.08275 0.89134
7000 0.08525 0.798202
7200 0.08775 0.815482
7400 0.09025 0.810402
7600 0.09275 0.769002
7800 0.09525 0.692883
8000 0.09775 0.671267
8200 0.10025 0.704583
8400 0.10275 0.603634
8600 0.10525 0.493189
8800 0.10775 0.506282
9000 0.11025 0.583636
9200 0.11275 0.612149
9400 0.11525 0.605379
9600 0.11775 0.647175
9800 0.12025 0.677051
10000 0.12275 0.701021
10200 0.12525 0.705315
10400 0.12775 0.713309
10600 0.13025 0.772057
10800 0.13275 0.810177
11000 0.13525 0.791023
11200 0.13775 0.76631
11400 0.14025 0.762993
11600 0.14275 0.771959
11800 0.14525 0.735292
12000 0.14775 0.704048
12200 0.15025 0.701778
12400 0.15275 0.698998
12600 0.15525 0.677967
12800 0.15775 0.632932
13000 0.16025 0.632345
13200 0.16275 0.660788
13400 0.16525 0.684815
13600 0.16775 0.649817
13800 0.17025 0.626384
14000 0.17275 0.662429
14200 0.17525 0.672115
14400 0.17775 0.675304
14600 0.18025 0.699275
14800 0.18275 0.711151
15000 0.18525 0.702006
15200 0.18775 0.696141
15400 0.19025 0.705557
15600 0.19275 0.729098
15800 0.19525 0.734547
16000 0.19775 0.718457
16200 0.20025 0.706948
16400 0.20275 0.710086
16600 0.20525 0.712808
16800 0.20775 0.715595
17000 0.21025 0.672199
17200 0.21275 0.680238
17400 0.21525 0.679167
17600 0.21775 0.683687
17800 0.22025 0.685094
18000 0.22275 0.685296
18200 0.22525 0.700798
18400 0.22775 0.707377
18600 0.23025 0.715677
18800 0.23275 0.722945
19000 0.23525 0.720595
19200 0.23775 0.719216
19400 0.24025 0.741141
19600 0.24275 0.742818
19800 0.24525 0.745221
20000 0.24775 0.743998
20200 0.25025 0.735772
20400 0.25275 0.730139
20600 0.25525 0.714247
20800 0.25775 0.706367
21000 0.26025 0.735044
21200 0.26275 0.748733
21400 0.26525 0.731558
21600 0.26775 0.746612
21800 0.27025 0.790283
22000 0.27275 0.797106
22200 0.27525 0.766846
22400 0.27775 0.763669
22600 0.28025 0.790257
22800 0.28275 0.779258
23000 0.28525 0.750647
23200 0.28775 0.748367
23400 0.29025 0.72516
23600 0.29275 0.692597
23800 0.29525 0.703345
24000 0.29775 0.697623
24200 0.30025 0.681334
24400 0.30275 0.691406
24600 0.30525 0.69941
24800 0.30775 0.706222
25000 0.31025 0.720429
25200 0.31275 0.729537
25400 0.31525 0.744772
25600 0.31775 0.758018
