# Time-averaged data for fix 3
# TimeStep v_strain v_stress
25800 0.32025 0.75822
26000 0.32275 0.732732
26200 0.32525 0.735518
26400 0.32775 0.763951
26600 0.33025 0.751892
26800 0.33275 0.754362
27000 0.33525 0.750092
27200 0.33775 0.767359
27400 0.34025 0.762016
27600 0.34275 0.753566
27800 0.34525 0.745953
28000 0.34775 0.754255
28200 0.35025 0.73181
28400 0.35275 0.676312
28600 0.35525 0.675671
28800 0.35775 0.695136
29000 0.36025 0.691948
29200 0.36275 0.70081
29400 0.36525 0.709688
29600 0.36775 0.704598
29800 0.37025 0.731052
30000 0.37275 0.717396
30200 0.37525 0.705069
30400 0.37775 0.694585
30600 0.38025 0.711364
30800 0.38275 0.71864
31000 0.38525 0.73323
31200 0.38775 0.72591
31400 0.39025 0.748785
31600 0.39275 0.753444
31800 0.39525 0.742853
32000 0.39775 0.745033
32200 0.40025 0.747485
32400 0.40275 0.715033
32600 0.40525 0.680818
32800 0.40775 0.678915
33000 0.41025 0.671732
33200 0.41275 0.687495
33400 0.41525 0.705593
33600 0.41775 0.736092
33800 0.42025 0.760491
34000 0.42275 0.783537
34200 0.42525 0.788535
34400 0.42775 0.789087
34600 0.43025 0.803511
34800 0.43275 0.792012
35000 0.43525 0.754976
35200 0.43775 0.763828
35400 0.44025 0.781075
35600 0.44275 0.79346
35800 0.44525 0.800329
36000 0.44775 0.783955
36200 0.45025 0.789315
36400 0.45275 0.778939
36600 0.45525 0.767456
36800 0.45775 0.751839
37000 0.46025 0.773666
37200 0.46275 0.774484
37400 0.46525 0.784815
37600 0.46775 0.784115
37800 0.47025 0.771614
38000 0.47275 0.749963
38200 0.47525 0.729242
38400 0.47775 0.732495
38600 0.48025 0.712553
38800 0.48275 0.693908
39000 0.48525 0.685144
39200 0.48775 0.711031
39400 0.49025 0.722559
39600 0.49275 0.70485
39800 0.49525 0.686541
40000 0.49775 0.65957
40200 0.50025 0.663434
40400 0.50275 0.673999
40600 0.50525 0.685467
40800 0.50775 0.688182
41000 0.51025 0.692863
41200 0.51275 0.685003
41400 0.51525 0.673974
41600 0.51775 0.675303
41800 0.52025 0.66474
42000 0.52275 0.667198
42200 0.52525 0.661941
42400 0.52775 0.649389
42600 0.53025 0.633206
42800 0.53275 0.574805
43000 0.53525 0.542214
43200 0.53775 0.555006
43400 0.54025 0.558161
43600 0.54275 0.555019
43800 0.54525 0.561067
44000 0.54775 0.549716
44200 0.55025 0.541118
44400 0.55275 0.514796
44600 0.55525 0.503823
44800 0.55775 0.479977
45000 0.56025 0.470379
45200 0.56275 0.44236
45400 0.56525 0.437172
45600 0.56775 0.419189
45800 0.57025 0.416739
46000 0.57275 0.421673
46200 0.57525 0.416021
46400 0.57775 0.405847
46600 0.58025 0.415448
46800 0.58275 0.396765
47000 0.58525 0.382997
47200 0.58775 0.369944
47400 0.59025 0.374169
47600 0.59275 0.367356
47800 0.59525 0.376841
48000 0.59775 0.366598
48200 0.60025 0.355875
48400 0.60275 0.349937
48600 0.60525 0.338112
48800 0.60775 0.339446
49000 0.61025 0.332865
49200 0.61275 0.307505
49400 0.61525 0.308839
49600 0.61775 0.306223
49800 0.62025 0.299839
50000 0.62275 0.292439
