# Time-averaged data for fix 3
# TimeStep v_strain v_stress
27000 0.33525 0.486235
27200 0.33775 0.507713
27400 0.34025 0.531531
27600 0.34275 0.549706
27800 0.34525 0.543389
28000 0.34775 0.545367
28200 0.35025 0.547705
28400 0.35275 0.539044
28600 0.35525 0.536146
28800 0.35775 0.520446
29000 0.36025 0.531691
29200 0.36275 0.497339
29400 0.36525 0.453445
29600 0.36775 0.447611
29800 0.37025 0.439989
30000 0.37275 0.418687
30200 0.37525 0.381935
30400 0.37775 0.379994
30600 0.38025 0.392373
30800 0.38275 0.371961
31000 0.38525 0.359502
31200 0.38775 0.353959
31400 0.39025 0.343518
31600 0.39275 0.32596
31800 0.39525 0.319472
32000 0.39775 0.317563
32200 0.40025 0.288807
32400 0.40275 0.297264
32600 0.40525 0.305385
32800 0.40775 0.268714
33000 0.41025 0.253755
33200 0.41275 0.257438
33400 0.41525 0.234685
33600 0.41775 0.207371
33800 0.42025 0.205938
34000 0.42275 0.202144
34200 0.42525 0.190083
34400 0.42775 0.171369
34600 0.43025 0.139609
34800 0.43275 0.149139
35000 0.43525 0.121164
35200 0.43775 0.0869858
35400 0.44025 0.0939152
35600 0.44275 0.0741835
35800 0.44525 0.0449663
36000 0.44775 0.0194317
36200 0.45025 0.0142046
36400 0.45275 0.0222646
36600 0.45525 0.0810299
36800 0.45775 0.0903916
37000 0.46025 0.059828
37200 0.46275 0.0322975
37400 0.46525 0.0286093
37600 0.46775 0.000299628
37800 0.47025 -0.00973163
38000 0.47275 -0.00134458
38200 0.47525 -0.0439192
38400 0.47775 -0.072364
38600 0.48025 -0.0358412
38800 0.48275 -0.0205809
39000 0.48525 -0.0234979
39200 0.48775 -0.00500758
39400 0.49025 -0.0295206
39600 0.49275 -0.0788988
39800 0.49525 -0.106602
40000 0.49775 -0.110895
40200 0.50025 -0.124452
40400 0.50275 -0.0987061
40600 0.50525 -0.100066
40800 0.50775 -0.107545
41000 0.51025 -0.135295
41200 0.51275 -0.140307
41400 0.51525 -0.128509
41600 0.51775 -0.107135
41800 0.52025 -0.111384
42000 0.52275 -0.0943344
42200 0.52525 -0.102347
42400 0.52775 -0.0914558
42600 0.53025 -0.0836893
42800 0.53275 -0.0581036
43000 0.53525 -0.0616634
43200 0.53775 -0.0161592
43400 0.54025 0.0267001
43600 0.54275 0.0376376
43800 0.54525 0.051113
44000 0.54775 0.0622298
44200 0.55025 0.0714465
44400 0.55275 0.0820248
44600 0.55525 0.0709406
44800 0.55775 0.0720161
45000 0.56025 0.0717888
45200 0.56275 0.0638364
45400 0.56525 0.0287147
45600 0.56775 0.022044
45800 0.57025 0.0368094
46000 0.57275 0.00322804
46200 0.57525 -0.0190701
46400 0.57775 -0.0118857
46600 0.58025 -0.0324191
46800 0.58275 -0.0261128
47000 0.58525 -0.0136081
47200 0.58775 -0.00319105
47400 0.59025 -0.000491687
47600 0.59275 -0.00095152
47800 0.59525 0.0028863
48000 0.59775 0.00652735
48200 0.60025 0.00451773
48400 0.60275 -0.00808119
48600 0.60525 -0.0255558
48800 0.60775 -0.0201149
49000 0.61025 -0.0164506
49200 0.61275 -0.0396377
49400 0.61525 -0.0408908
49600 0.61775 -0.0438742
49800 0.62025 -0.0492986
50000 0.62275 -0.0506038
