# Time-averaged data for fix 3
# TimeStep v_strain v_stress
200 0.00025 0.00154816
400 0.00275 0.0908958
600 0.00525 0.131703
800 0.00775 0.233792
1000 0.01025 0.328317
1200 0.01275 0.40975
1400 0.01525 0.473114
1600 0.01775 0.558872
1800 0.02025 0.626398
2000 0.02275 0.703641
2200 0.02525 0.718056
2400 0.02775 0.782004
2600 0.03025 0.838384
2800 0.03275 0.889559
3000 0.03525 0.921202
3200 0.03775 0.966906
3400 0.04025 1.02361
3600 0.04275 1.05983
3800 0.04525 1.08307
4000 0.04775 1.06318
4200 0.05025 1.08757
4400 0.05275 1.14947
4600 0.05525 1.173
4800 0.05775 1.15872
5000 0.06025 1.14149
5200 0.06275 1.16541
5400 0.06525 1.19268
5600 0.06775 1.18015
5800 0.07025 1.15327
6000 0.07275 1.10982
6200 0.07525 1.06327
6400 0.07775 1.02335
6600 0.08025 1.03681
6800 0.08275 1.01152
7000 0.08525 0.943974
7200 0.08775 0.888577
7400 0.09025 0.877078
7600 0.09275 0.871509
7800 0.09525 0.853528
8000 0.09775 0.799426
8200 0.10025 0.795583
8400 0.10275 0.829833
8600 0.10525 0.813426
8800 0.10775 0.764406
9000 0.11025 0.789204
9200 0.11275 0.795085
9400 0.11525 0.740506
9600 0.11775 0.690882
9800 0.12025 0.703905
10000 0.12275 0.672399
10200 0.12525 0.660585
10400 0.12775 0.673676
10600 0.13025 0.681097
10800 0.13275 0.644715
11000 0.13525 0.618634
11200 0.13775 0.613913
11400 0.14025 0.60673
11600 0.14275 0.630104
11800 0.14525 0.633128
12000 0.14775 0.641774
12200 0.15025 0.634514
12400 0.15275 0.657636
12600 0.15525 0.694649
12800 0.15775 0.704343
13000 0.16025 0.734888
13200 0.16275 0.726041
13400 0.16525 0.729655
13600 0.16775 0.757042
13800 0.17025 0.777447
14000 0.17275 0.767543
14200 0.17525 0.780278
14400 0.17775 0.772434
14600 0.18025 0.7583
14800 0.18275 0.777767
15000 0.18525 0.759611
15200 0.18775 0.730261
15400 0.19025 0.700605
15600 0.19275 0.682289
15800 0.19525 0.690631
16000 0.19775 0.673005
16200 0.20025 0.637028
16400 0.20275 0.652436
16600 0.20525 0.652129
16800 0.20775 0.655221
17000 0.21025 0.656151
17200 0.21275 0.650021
17400 0.21525 0.654154
17600 0.21775 0.674629
17800 0.22025 0.695505
18000 0.22275 0.696326
18200 0.22525 0.696995
18400 0.22775 0.714478
18600 0.23025 0.693805
18800 0.23275 0.728184
19000 0.23525 0.748297
19200 0.23775 0.742305
19400 0.24025 0.727102
19600 0.24275 0.742604
19800 0.24525 0.731812
20000 0.24775 0.731801
20200 0.25025 0.734269
20400 0.25275 0.666967
20600 0.25525 0.670603
20800 0.25775 0.662818
21000 0.26025 0.661289
21200 0.26275 0.641888
21400 0.26525 0.654777
21600 0.26775 0.63031
21800 0.27025 0.658379
22000 0.27275 0.664022
22200 0.27525 0.64006
22400 0.27775 0.646644
22600 0.28025 0.668118
22800 0.28275 0.668995
23000 0.28525 0.685252
23200 0.28775 0.650935
23400 0.29025 0.606313
23600 0.29275 0.600212
23800 0.29525 0.586945
24000 0.29775 0.591032
24200 0.30025 0.598046
24400 0.30275 0.609719
24600 0.30525 0.592827
24800 0.30775 0.547175
25000 0.31025 0.488842
25200 0.31275 0.492766
25400 0.31525 0.493157
25600 0.31775 0.469991
25800 0.32025 0.468407
26000 0.32275 0.4457
26200 0.32525 0.463891
26400 0.32775 0.481537
26600 0.33025 0.454797
26800 0.33275 0.488
