# Time-averaged data for fix 3
# TimeStep v_strain v_stress
200 0.00025 -0.019872
400 0.00275 0.0676106
600 0.00525 0.147815
800 0.00775 0.250972
1000 0.01025 0.333484
1200 0.01275 0.414077
1400 0.01525 0.503344
1600 0.01775 0.585087
1800 0.02025 0.643095
2000 0.02275 0.701862
2200 0.02525 0.746488
2400 0.02775 0.81278
2600 0.03025 0.858354
2800 0.03275 0.905502
3000 0.03525 0.950378
3200 0.03775 1.00328
3400 0.04025 1.05504
3600 0.04275 1.07138
3800 0.04525 1.10531
4000 0.04775 1.11482
4200 0.05025 1.15857
4400 0.05275 1.17933
4600 0.05525 1.19199
4800 0.05775 1.18932
5000 0.06025 1.2003
5200 0.06275 1.22089
5400 0.06525 1.22612
5600 0.06775 1.19954
5800 0.07025 1.13323
6000 0.07275 1.13335
6200 0.07525 1.1954
6400 0.07775 1.15102
6600 0.08025 1.01732
6800 0.08275 1.04552
7000 0.08525 1.08573
7200 0.08775 1.0531
7400 0.09025 0.894136
7600 0.09275 0.848624
7800 0.09525 0.888272
8000 0.09775 0.875782
8200 0.10025 0.794852
8400 0.10275 0.665579
8600 0.10525 0.683072
8800 0.10775 0.699595
9000 0.11025 0.672058
9200 0.11275 0.664176
9400 0.11525 0.71722
9600 0.11775 0.785066
9800 0.12025 0.768043
10000 0.12275 0.798678
10200 0.12525 0.863097
10400 0.12775 0.903171
10600 0.13025 0.876051
10800 0.13275 0.84066
11000 0.13525 0.870567
11200 0.13775 0.894091
11400 0.14025 0.854686
11600 0.14275 0.809077
11800 0.14525 0.775633
12000 0.14775 0.733036
12200 0.15025 0.681327
12400 0.15275 0.674604
12600 0.15525 0.644405
12800 0.15775 0.641312
13000 0.16025 0.659645
13200 0.16275 0.663912
13400 0.16525 0.660643
13600 0.16775 0.662752
13800 0.17025 0.658982
14000 0.17275 0.667139
14200 0.17525 0.640179
14400 0.17775 0.649445
14600 0.18025 0.667754
14800 0.18275 0.674429
15000 0.18525 0.668354
15200 0.18775 0.68779
15400 0.19025 0.71233
15600 0.19275 0.690621
