# Time-averaged data for fix 3
# TimeStep v_strain v_stress
15800 0.19525 0.669941
16000 0.19775 0.686257
16200 0.20025 0.6998
16400 0.20275 0.687941
16600 0.20525 0.643415
16800 0.20775 0.619012
17000 0.21025 0.634181
17200 0.21275 0.650136
17400 0.21525 0.649861
17600 0.21775 0.654876
17800 0.22025 0.701579
18000 0.22275 0.700123
18200 0.22525 0.700575
18400 0.22775 0.688639
18600 0.23025 0.69694
18800 0.23275 0.711411
19000 0.23525 0.674466
19200 0.23775 0.664751
19400 0.24025 0.676641
19600 0.24275 0.68599
19800 0.24525 0.660313
20000 0.24775 0.679252
20200 0.25025 0.698866
20400 0.25275 0.718816
20600 0.25525 0.71615
20800 0.25775 0.677686
21000 0.26025 0.666388
21200 0.26275 0.669239
21400 0.26525 0.665206
21600 0.26775 0.671594
21800 0.27025 0.688729
22000 0.27275 0.687817
22200 0.27525 0.686959
22400 0.27775 0.692473
22600 0.28025 0.703893
22800 0.28275 0.700739
23000 0.28525 0.692191
23200 0.28775 0.682882
23400 0.29025 0.699606
23600 0.29275 0.688575
23800 0.29525 0.664039
24000 0.29775 0.661135
24200 0.30025 0.648347
24400 0.30275 0.672579
24600 0.30525 0.685834
24800 0.30775 0.670127
25000 0.31025 0.680022
25200 0.31275 0.705691
25400 0.31525 0.70617
25600 0.31775 0.713543
25800 0.32025 0.736706
26000 0.32275 0.728748
26200 0.32525 0.729339
26400 0.32775 0.727967
26600 0.33025 0.717695
26800 0.33275 0.710028
27000 0.33525 0.694697
27200 0.33775 0.666709
27400 0.34025 0.654834
27600 0.34275 0.63037
27800 0.34525 0.628739
28000 0.34775 0.633974
28200 0.35025 0.632506
28400 0.35275 0.652283
28600 0.35525 0.643737
28800 0.35775 0.659107
29000 0.36025 0.670406
29200 0.36275 0.681078
29400 0.36525 0.698253
29600 0.36775 0.705981
29800 0.37025 0.703317
30000 0.37275 0.690961
30200 0.37525 0.693068
30400 0.37775 0.6984
30600 0.38025 0.691288
30800 0.38275 0.691277
31000 0.38525 0.700605
31200 0.38775 0.701575
31400 0.39025 0.706728
31600 0.39275 0.729926
31800 0.39525 0.742607
32000 0.39775 0.735038
32200 0.40025 0.725781
32400 0.40275 0.736963
32600 0.40525 0.727521
32800 0.40775 0.703485
33000 0.41025 0.689977
33200 0.41275 0.678101
33400 0.41525 0.639531
33600 0.41775 0.624512
33800 0.42025 0.629256
34000 0.42275 0.643743
34200 0.42525 0.625466
34400 0.42775 0.65227
34600 0.43025 0.651691
34800 0.43275 0.66092
35000 0.43525 0.679113
35200 0.43775 0.677216
35400 0.44025 0.678418
35600 0.44275 0.664799
35800 0.44525 0.645819
36000 0.44775 0.659231
36200 0.45025 0.642552
36400 0.45275 0.619799
36600 0.45525 0.622602
36800 0.45775 0.63528
37000 0.46025 0.657052
37200 0.46275 0.647126
37400 0.46525 0.632213
37600 0.46775 0.623031
37800 0.47025 0.622977
38000 0.47275 0.629342
38200 0.47525 0.63061
38400 0.47775 0.604712
38600 0.48025 0.60357
38800 0.48275 0.602874
39000 0.48525 0.599896
39200 0.48775 0.588825
39400 0.49025 0.574727
39600 0.49275 0.561958
39800 0.49525 0.555465
40000 0.49775 0.524154
40200 0.50025 0.510717
40400 0.50275 0.511099
40600 0.50525 0.492292
40800 0.50775 0.489316
41000 0.51025 0.474985
41200 0.51275 0.469212
41400 0.51525 0.465334
41600 0.51775 0.430924
41800 0.52025 0.421938
42000 0.52275 0.426494
42200 0.52525 0.436034
42400 0.52775 0.435949
42600 0.53025 0.417296
42800 0.53275 0.402863
43000 0.53525 0.384613
43200 0.53775 0.366275
43400 0.54025 0.360189
43600 0.54275 0.330633
43800 0.54525 0.304513
44000 0.54775 0.30782
44200 0.55025 0.27981
44400 0.55275 0.266084
44600 0.55525 0.236547
44800 0.55775 0.231356
45000 0.56025 0.222604
45200 0.56275 0.207916
45400 0.56525 0.192955
45600 0.56775 0.16699
45800 0.57025 0.175298
46000 0.57275 0.149013
46200 0.57525 0.153374
46400 0.57775 0.145403
46600 0.58025 0.130178
46800 0.58275 0.137641
47000 0.58525 0.148552
47200 0.58775 0.123689
47400 0.59025 0.085505
47600 0.59275 0.068505
47800 0.59525 0.0881161
48000 0.59775 0.0908218
48200 0.60025 0.0989968
48400 0.60275 0.109463
48600 0.60525 0.106068
48800 0.60775 0.0977892
49000 0.61025 0.0751811
49200 0.61275 0.0861579
49400 0.61525 0.108205
49600 0.61775 0.124857
49800 0.62025 0.121505
50000 0.62275 0.093482
